!!SBtab SBtabVersion='1.0' Document='BIOMD0000000239_url_balanced_mode' TableType='Compartment' TableName='Compartment' TableID='ID_870' Date='2023-11-1'
!Compartment	!Name	!Size	!Identifiers:go	!Identifiers:obo.go
CYTOPLASM	cytoplasm	1.0	GO:0005737	GO:0005737
MT_IMS	mitochondrial intermembrane space	1.0	GO:0005758	GO:0005758
MT_IM	mitochondrial inner membrane	1.0	GO:0005743	GO:0005743
MATRIX	mitochondrial matrix	1.0	GO:0005759	GO:0005759

!!SBtab SBtabVersion='1.0' Document='BIOMD0000000239_url_balanced_mode' TableType='Compound' TableName='Compound' TableID='ID_169' Date='2023-11-1'
!Compound	!Name	!Location	!Charge	!IsConstant	!InitialConcentration	!hasOnlySubstanceUnits	!Identifiers:kegg.compound	!Identifiers:obo.chebi
v1	glucokinase	GLC + ATP_cyt <=> F6P + ADP_cyt		( 0.001 / 1.0) * (( kcrg_v1 * ( ( ((keq_v1)^(hco_v1/2.)) * GLC * ATP_cyt) - (((keq_v1)^(-hco_v1/2.)) * F6P * ADP_cyt)            ) )) / sqrt(kmc_v1_GLC * kmc_v1_ATP_cyt * kmc_v1_F6P * kmc_v1_ADP_cyt) / (( (1 + (GLC/kmc_v1_GLC)) * (1 + (ATP_cyt/kmc_v1_ATP_cyt)) ) + ( (1 + (F6P/kmc_v1_F6P)) * (1 + (ADP_cyt/kmc_v1_ADP_cyt)) ) - 1)	False	2.7.1.2		
v2	6-phosphofructokinase	F6P + ATP_cyt <=> FBP + ADP_cyt	AMP	( 0.001 / 1.0) * (( kcrg_v2 * ( ( ((keq_v2)^(hco_v2/2.)) * F6P * ATP_cyt) - (((keq_v2)^(-hco_v2/2.)) * FBP * ADP_cyt)            ) )) / sqrt(kmc_v2_F6P * kmc_v2_ATP_cyt * kmc_v2_FBP * kmc_v2_ADP_cyt) / (( (1 + (F6P/kmc_v2_F6P)) * (1 + (ATP_cyt/kmc_v2_ATP_cyt)) ) + ( (1 + (FBP/kmc_v2_FBP)) * (1 + (ADP_cyt/kmc_v2_ADP_cyt)) ) - 1)	False	2.7.1.11		
v3	fructose-bisphosphate aldolase	FBP <=> 2.0 GAP		( 0.001 / 1.0) * (( kcrg_v3 * ( ( ((keq_v3)^(hco_v3/2.)) * FBP) - (((keq_v3)^(-hco_v3/2.)) * GAP^2.0)            ) )) / sqrt(kmc_v3_FBP * kmc_v3_GAP^2.0) / (( (1 + (FBP/kmc_v3_FBP)) ) + ( (1 + (GAP/kmc_v3_GAP)^2.0) ) - 1)	True	4.1.2.13		
v4	glyceraldehyde 3-phosphate dehydrogenase	GAP + NAD <=> DPG + NADH_cyt		( 0.001 / 1.0) * (( kcrg_v4 * ( ( ((keq_v4)^(hco_v4/2.)) * GAP * NAD) - (((keq_v4)^(-hco_v4/2.)) * DPG * NADH_cyt)            ) )) / sqrt(kmc_v4_GAP * kmc_v4_NAD * kmc_v4_DPG * kmc_v4_NADH_cyt) / (( (1 + (GAP/kmc_v4_GAP)) * (1 + (NAD/kmc_v4_NAD)) ) + ( (1 + (DPG/kmc_v4_DPG)) * (1 + (NADH_cyt/kmc_v4_NADH_cyt)) ) - 1)	False	1.2.1.12		
v5	bisphosphoglycerate phosphotase (1/2)	DPG + ADP_cyt <=> PEP + ATP_cyt		( 0.001 / 1.0) * (( kcrg_v5 * ( ( ((keq_v5)^(hco_v5/2.)) * DPG * ADP_cyt) - (((keq_v5)^(-hco_v5/2.)) * PEP * ATP_cyt)            ) )) / sqrt(kmc_v5_DPG * kmc_v5_ADP_cyt * kmc_v5_PEP * kmc_v5_ATP_cyt) / (( (1 + (DPG/kmc_v5_DPG)) * (1 + (ADP_cyt/kmc_v5_ADP_cyt)) ) + ( (1 + (PEP/kmc_v5_PEP)) * (1 + (ATP_cyt/kmc_v5_ATP_cyt)) ) - 1)	True	5.4.2.1		
v6	pyruvate kinase	PEP + ADP_cyt <=> PYR_cyt + ATP_cyt		( 0.001 / 1.0) * (( kcrg_v6 * ( ( ((keq_v6)^(hco_v6/2.)) * PEP * ADP_cyt) - (((keq_v6)^(-hco_v6/2.)) * PYR_cyt * ATP_cyt)            ) )) / sqrt(kmc_v6_PEP * kmc_v6_ADP_cyt * kmc_v6_PYR_cyt * kmc_v6_ATP_cyt) / (( (1 + (PEP/kmc_v6_PEP)) * (1 + (ADP_cyt/kmc_v6_ADP_cyt)) ) + ( (1 + (PYR_cyt/kmc_v6_PYR_cyt)) * (1 + (ATP_cyt/kmc_v6_ATP_cyt)) ) - 1)	False	2.7.1.40		
v7	lactate dehydrogenase	PYR_cyt + NADH_cyt <=> LAC + NAD		( 0.001 / 1.0) * (( kcrg_v7 * ( ( ((keq_v7)^(hco_v7/2.)) * PYR_cyt * NADH_cyt) - (((keq_v7)^(-hco_v7/2.)) * LAC * NAD)            ) )) / sqrt(kmc_v7_PYR_cyt * kmc_v7_NADH_cyt * kmc_v7_LAC * kmc_v7_NAD) / (( (1 + (PYR_cyt/kmc_v7_PYR_cyt)) * (1 + (NADH_cyt/kmc_v7_NADH_cyt)) ) + ( (1 + (LAC/kmc_v7_LAC)) * (1 + (NAD/kmc_v7_NAD)) ) - 1)	True	1.1.1.27		
hidden_1		AMP + ATP_cyt <=> 2.0 ADP_cyt		( 0.001 / 1.0) * (( kcrg_hidden_1 * ( ( ((keq_hidden_1)^(hco_hidden_1/2.)) * AMP * ATP_cyt) - (((keq_hidden_1)^(-hco_hidden_1/2.)) * ADP_cyt^2.0)            ) )) / sqrt(kmc_hidden_1_AMP * kmc_hidden_1_ATP_cyt * kmc_hidden_1_ADP_cyt^2.0) / (( (1 + (AMP/kmc_hidden_1_AMP)) * (1 + (ATP_cyt/kmc_hidden_1_ATP_cyt)) ) + ( (1 + (ADP_cyt/kmc_hidden_1_ADP_cyt)^2.0) ) - 1)	True		GO:0004017	GO:0004017
v8	pyruvate carrier	PYR_cyt <=> Pyr		( 0.001 / 1.0) * (( kcrg_v8 * ( ( ((keq_v8)^(hco_v8/2.)) * PYR_cyt) - (((keq_v8)^(-hco_v8/2.)) * Pyr)            ) )) / sqrt(kmc_v8_PYR_cyt * kmc_v8_Pyr) / (( (1 + (PYR_cyt/kmc_v8_PYR_cyt)) ) + ( (1 + (Pyr/kmc_v8_Pyr)) ) - 1)	True		GO:0005477	GO:0005477
v9	pyruvate dehydrogenase complex	Pyr + CoA + NAD_p <=> CO2 + Acetyl_CoA + NADH		( 0.001 / 1.0) * (( kcrg_v9 * ( ( ((keq_v9)^(hco_v9/2.)) * Pyr * CoA * NAD_p) - (((keq_v9)^(-hco_v9/2.)) * CO2 * Acetyl_CoA * NADH)            ) )) / sqrt(kmc_v9_Pyr * kmc_v9_CoA * kmc_v9_NAD_p * kmc_v9_CO2 * kmc_v9_Acetyl_CoA * kmc_v9_NADH) / (( (1 + (Pyr/kmc_v9_Pyr)) * (1 + (CoA/kmc_v9_CoA)) * (1 + (NAD_p/kmc_v9_NAD_p)) ) + ( (1 + (CO2/kmc_v9_CO2)) * (1 + (Acetyl_CoA/kmc_v9_Acetyl_CoA)) * (1 + (NADH/kmc_v9_NADH)) ) - 1)	False	1.2.4.1		
v10	citrate synthase	OXA + Acetyl_CoA <=> Cit + CoA		( 0.001 / 1.0) * (( kcrg_v10 * ( ( ((keq_v10)^(hco_v10/2.)) * OXA * Acetyl_CoA) - (((keq_v10)^(-hco_v10/2.)) * Cit * CoA)            ) )) / sqrt(kmc_v10_OXA * kmc_v10_Acetyl_CoA * kmc_v10_Cit * kmc_v10_CoA) / (( (1 + (OXA/kmc_v10_OXA)) * (1 + (Acetyl_CoA/kmc_v10_Acetyl_CoA)) ) + ( (1 + (Cit/kmc_v10_Cit)) * (1 + (CoA/kmc_v10_CoA)) ) - 1)	True	2.3.3.1		
v11	aconitase	Cit <=> IsoCit		( 0.001 / 1.0) * (( kcrg_v11 * ( ( ((keq_v11)^(hco_v11/2.)) * Cit) - (((keq_v11)^(-hco_v11/2.)) * IsoCit)            ) )) / sqrt(kmc_v11_Cit * kmc_v11_IsoCit) / (( (1 + (Cit/kmc_v11_Cit)) ) + ( (1 + (IsoCit/kmc_v11_IsoCit)) ) - 1)	True	4.2.1.3		
v12	isocitrate dehydrogenase (NAD+) (alpha/beta/gamma)	IsoCit + NAD_p <=> OG + NADH	ADP	( 0.001 / 1.0) * (( kcrg_v12 * ( ( ((keq_v12)^(hco_v12/2.)) * IsoCit * NAD_p) - (((keq_v12)^(-hco_v12/2.)) * OG * NADH)            ) )) / sqrt(kmc_v12_IsoCit * kmc_v12_NAD_p * kmc_v12_OG * kmc_v12_NADH) / (( (1 + (IsoCit/kmc_v12_IsoCit)) * (1 + (NAD_p/kmc_v12_NAD_p)) ) + ( (1 + (OG/kmc_v12_OG)) * (1 + (NADH/kmc_v12_NADH)) ) - 1)	False	1.1.1.41		
v14	oxoglutarate dehydrogenase complex	OG + CoA + NAD_p <=> CO2 + SCoA + NADH		( 0.001 / 1.0) * (( kcrg_v14 * ( ( ((keq_v14)^(hco_v14/2.)) * OG * CoA * NAD_p) - (((keq_v14)^(-hco_v14/2.)) * CO2 * SCoA * NADH)            ) )) / sqrt(kmc_v14_OG * kmc_v14_CoA * kmc_v14_NAD_p * kmc_v14_CO2 * kmc_v14_SCoA * kmc_v14_NADH) / (( (1 + (OG/kmc_v14_OG)) * (1 + (CoA/kmc_v14_CoA)) * (1 + (NAD_p/kmc_v14_NAD_p)) ) + ( (1 + (CO2/kmc_v14_CO2)) * (1 + (SCoA/kmc_v14_SCoA)) * (1 + (NADH/kmc_v14_NADH)) ) - 1)	False	1.2.4.2		
v15	succinyl-CoA synthetase	GDP + SCoA + Pi <=> Suc + GTP + CoA		( 0.001 / 1.0) * (( kcrg_v15 * ( ( ((keq_v15)^(hco_v15/2.)) * GDP * SCoA * Pi) - (((keq_v15)^(-hco_v15/2.)) * Suc * GTP * CoA)            ) )) / sqrt(kmc_v15_GDP * kmc_v15_SCoA * kmc_v15_Pi * kmc_v15_Suc * kmc_v15_GTP * kmc_v15_CoA) / (( (1 + (GDP/kmc_v15_GDP)) * (1 + (SCoA/kmc_v15_SCoA)) * (1 + (Pi/kmc_v15_Pi)) ) + ( (1 + (Suc/kmc_v15_Suc)) * (1 + (GTP/kmc_v15_GTP)) * (1 + (CoA/kmc_v15_CoA)) ) - 1)	True	6.2.1.4		
v16	succinate dehydrogenase	Suc + Q <=> Fum + QH2		( 0.001 / 1.0) * (( kcrg_v16 * ( ( ((keq_v16)^(hco_v16/2.)) * Suc * Q) - (((keq_v16)^(-hco_v16/2.)) * Fum * QH2)            ) )) / sqrt(kmc_v16_Suc * kmc_v16_Q * kmc_v16_Fum * kmc_v16_QH2) / (( (1 + (Suc/kmc_v16_Suc)) * (1 + (Q/kmc_v16_Q)) ) + ( (1 + (Fum/kmc_v16_Fum)) * (1 + (QH2/kmc_v16_QH2)) ) - 1)	True	1.3.5.1		
v17	fumarase	Fum <=> Mal		( 0.001 / 1.0) * (( kcrg_v17 * ( ( ((keq_v17)^(hco_v17/2.)) * Fum) - (((keq_v17)^(-hco_v17/2.)) * Mal)            ) )) / sqrt(kmc_v17_Fum * kmc_v17_Mal) / (( (1 + (Fum/kmc_v17_Fum)) ) + ( (1 + (Mal/kmc_v17_Mal)) ) - 1)	True	4.2.1.2		
v18	malate dehydrogenase (mitochondrion)	Mal + NAD_p <=> NADH + OXA		( 0.001 / 1.0) * (( kcrg_v18 * ( ( ((keq_v18)^(hco_v18/2.)) * Mal * NAD_p) - (((keq_v18)^(-hco_v18/2.)) * NADH * OXA)            ) )) / sqrt(kmc_v18_Mal * kmc_v18_NAD_p * kmc_v18_NADH * kmc_v18_OXA) / (( (1 + (Mal/kmc_v18_Mal)) * (1 + (NAD_p/kmc_v18_NAD_p)) ) + ( (1 + (NADH/kmc_v18_NADH)) * (1 + (OXA/kmc_v18_OXA)) ) - 1)	True	1.1.1.37		
v20	alanine transaminase	Ala + OG <=> Glu + Pyr		( 0.001 / 1.0) * (( kcrg_v20 * ( ( ((keq_v20)^(hco_v20/2.)) * Ala * OG) - (((keq_v20)^(-hco_v20/2.)) * Glu * Pyr)            ) )) / sqrt(kmc_v20_Ala * kmc_v20_OG * kmc_v20_Glu * kmc_v20_Pyr) / (( (1 + (Ala/kmc_v20_Ala)) * (1 + (OG/kmc_v20_OG)) ) + ( (1 + (Glu/kmc_v20_Glu)) * (1 + (Pyr/kmc_v20_Pyr)) ) - 1)	True	2.6.1.2		
v21	aspartate transaminase	OXA + Glu <=> Asp + OG		( 0.001 / 1.0) * (( kcrg_v21 * ( ( ((keq_v21)^(hco_v21/2.)) * OXA * Glu) - (((keq_v21)^(-hco_v21/2.)) * Asp * OG)            ) )) / sqrt(kmc_v21_OXA * kmc_v21_Glu * kmc_v21_Asp * kmc_v21_OG) / (( (1 + (OXA/kmc_v21_OXA)) * (1 + (Glu/kmc_v21_Glu)) ) + ( (1 + (Asp/kmc_v21_Asp)) * (1 + (OG/kmc_v21_OG)) ) - 1)	True	2.6.1.1		
v22	aspartate/glutamate carrier	Glu_cyt + Asp <=> Asp_cyt + Glu		( 0.001 / 1.0) * (( kcrg_v22 * ( ( ((keq_v22)^(hco_v22/2.)) * Glu_cyt * Asp) - (((keq_v22)^(-hco_v22/2.)) * Asp_cyt * Glu)            ) )) / sqrt(kmc_v22_Glu_cyt * kmc_v22_Asp * kmc_v22_Asp_cyt * kmc_v22_Glu) / (( (1 + (Glu_cyt/kmc_v22_Glu_cyt)) * (1 + (Asp/kmc_v22_Asp)) ) + ( (1 + (Asp_cyt/kmc_v22_Asp_cyt)) * (1 + (Glu/kmc_v22_Glu)) ) - 1)	True			
v24	NADH:ubiquinone oxidoreductase	NADH + Q <=> NAD_p + QH2		( 0.001 / 1.0) * (( kcrg_v24 * ( ( ((keq_v24)^(hco_v24/2.)) * NADH * Q) - (((keq_v24)^(-hco_v24/2.)) * NAD_p * QH2)            ) )) / sqrt(kmc_v24_NADH * kmc_v24_Q * kmc_v24_NAD_p * kmc_v24_QH2) / (( (1 + (NADH/kmc_v24_NADH)) * (1 + (Q/kmc_v24_Q)) ) + ( (1 + (NAD_p/kmc_v24_NAD_p)) * (1 + (QH2/kmc_v24_QH2)) ) - 1)	True	2.7.4.6		
v25	ubiquinol:cytochrome c oxidoreductase	QH2 + 2.0 Cytc3p <=> Q + 2.0 Cytc2p		( 0.001 / 1.0) * (( kcrg_v25 * ( ( ((keq_v25)^(hco_v25/2.)) * QH2 * Cytc3p^2.0) - (((keq_v25)^(-hco_v25/2.)) * Q * Cytc2p^2.0)            ) )) / sqrt(kmc_v25_QH2 * kmc_v25_Cytc3p^2.0 * kmc_v25_Q * kmc_v25_Cytc2p^2.0) / (( (1 + (QH2/kmc_v25_QH2)) * (1 + (Cytc3p/kmc_v25_Cytc3p)^2.0) ) + ( (1 + (Q/kmc_v25_Q)) * (1 + (Cytc2p/kmc_v25_Cytc2p)^2.0) ) - 1)	False	1.10.2.2		
v26	cytochrome c oxidase	Cytc2p <=> Cytc3p		( 0.001 / 1.0) * (( kcrg_v26 * ( ( ((keq_v26)^(hco_v26/2.)) * Cytc2p) - (((keq_v26)^(-hco_v26/2.)) * Cytc3p)            ) )) / sqrt(kmc_v26_Cytc2p * kmc_v26_Cytc3p) / (( (1 + (Cytc2p/kmc_v26_Cytc2p)) ) + ( (1 + (Cytc3p/kmc_v26_Cytc3p)) ) - 1)	False	1.9.3.1		
v27	citrate synthase	Cit_cyt + CoA_cyt <=> OXA_cyt + Acetyl_CoA_cyt		( 0.001 / 1.0) * (( kcrg_v27 * ( ( ((keq_v27)^(hco_v27/2.)) * Cit_cyt * CoA_cyt) - (((keq_v27)^(-hco_v27/2.)) * OXA_cyt * Acetyl_CoA_cyt)            ) )) / sqrt(kmc_v27_Cit_cyt * kmc_v27_CoA_cyt * kmc_v27_OXA_cyt * kmc_v27_Acetyl_CoA_cyt) / (( (1 + (Cit_cyt/kmc_v27_Cit_cyt)) * (1 + (CoA_cyt/kmc_v27_CoA_cyt)) ) + ( (1 + (OXA_cyt/kmc_v27_OXA_cyt)) * (1 + (Acetyl_CoA_cyt/kmc_v27_Acetyl_CoA_cyt)) ) - 1)	True	2.3.3.1		
v28	ATPase complex	ADP + Pi <=> ATP + H2O		( 0.001 / 1.0) * (( kcrg_v28 * ( ( ((keq_v28)^(hco_v28/2.)) * ADP * Pi) - (((keq_v28)^(-hco_v28/2.)) * ATP * H2O)            ) )) / sqrt(kmc_v28_ADP * kmc_v28_Pi * kmc_v28_ATP * kmc_v28_H2O) / (( (1 + (ADP/kmc_v28_ADP)) * (1 + (Pi/kmc_v28_Pi)) ) + ( (1 + (ATP/kmc_v28_ATP)) * (1 + (H2O/kmc_v28_H2O)) ) - 1)	True	3.6.1.5		
v29	aconitase	Cit_cyt <=> IsoCitcyt		( 0.001 / 1.0) * (( kcrg_v29 * ( ( ((keq_v29)^(hco_v29/2.)) * Cit_cyt) - (((keq_v29)^(-hco_v29/2.)) * IsoCitcyt)            ) )) / sqrt(kmc_v29_Cit_cyt * kmc_v29_IsoCitcyt) / (( (1 + (Cit_cyt/kmc_v29_Cit_cyt)) ) + ( (1 + (IsoCitcyt/kmc_v29_IsoCitcyt)) ) - 1)	True	4.2.1.3		
v30	oxoglutarate carrier	Mal_cyt + OG <=> OG_cyt + Mal		( 0.001 / 1.0) * (( kcrg_v30 * ( ( ((keq_v30)^(hco_v30/2.)) * Mal_cyt * OG) - (((keq_v30)^(-hco_v30/2.)) * OG_cyt * Mal)            ) )) / sqrt(kmc_v30_Mal_cyt * kmc_v30_OG * kmc_v30_OG_cyt * kmc_v30_Mal) / (( (1 + (Mal_cyt/kmc_v30_Mal_cyt)) * (1 + (OG/kmc_v30_OG)) ) + ( (1 + (OG_cyt/kmc_v30_OG_cyt)) * (1 + (Mal/kmc_v30_Mal)) ) - 1)	True		GO:0015367	GO:0015367
v31	malate dehydrogenase (cytosol)	NADH_cyt + OXA_cyt <=> Mal_cyt + NAD		( 0.001 / 1.0) * (( kcrg_v31 * ( ( ((keq_v31)^(hco_v31/2.)) * NADH_cyt * OXA_cyt) - (((keq_v31)^(-hco_v31/2.)) * Mal_cyt * NAD)            ) )) / sqrt(kmc_v31_NADH_cyt * kmc_v31_OXA_cyt * kmc_v31_Mal_cyt * kmc_v31_NAD) / (( (1 + (NADH_cyt/kmc_v31_NADH_cyt)) * (1 + (OXA_cyt/kmc_v31_OXA_cyt)) ) + ( (1 + (Mal_cyt/kmc_v31_Mal_cyt)) * (1 + (NAD/kmc_v31_NAD)) ) - 1)	False	1.1.1.37		
v32	aspartate transaminase	Asp_cyt + OG_cyt <=> OXA_cyt + Glu_cyt		( 0.001 / 1.0) * (( kcrg_v32 * ( ( ((keq_v32)^(hco_v32/2.)) * Asp_cyt * OG_cyt) - (((keq_v32)^(-hco_v32/2.)) * OXA_cyt * Glu_cyt)            ) )) / sqrt(kmc_v32_Asp_cyt * kmc_v32_OG_cyt * kmc_v32_OXA_cyt * kmc_v32_Glu_cyt) / (( (1 + (Asp_cyt/kmc_v32_Asp_cyt)) * (1 + (OG_cyt/kmc_v32_OG_cyt)) ) + ( (1 + (OXA_cyt/kmc_v32_OXA_cyt)) * (1 + (Glu_cyt/kmc_v32_Glu_cyt)) ) - 1)	True	2.6.1.1		
v33	citrate carrier	Cit_cyt + Mal <=> Mal_cyt + Cit		( 0.001 / 1.0) * (( kcrg_v33 * ( ( ((keq_v33)^(hco_v33/2.)) * Cit_cyt * Mal) - (((keq_v33)^(-hco_v33/2.)) * Mal_cyt * Cit)            ) )) / sqrt(kmc_v33_Cit_cyt * kmc_v33_Mal * kmc_v33_Mal_cyt * kmc_v33_Cit) / (( (1 + (Cit_cyt/kmc_v33_Cit_cyt)) * (1 + (Mal/kmc_v33_Mal)) ) + ( (1 + (Mal_cyt/kmc_v33_Mal_cyt)) * (1 + (Cit/kmc_v33_Cit)) ) - 1)	True		GO:0015137	GO:0015137
v34	ETF:Q oxidoreductase	ETFred + Q <=> ETFox + QH2		( 0.001 / 1.0) * (( kcrg_v34 * ( ( ((keq_v34)^(hco_v34/2.)) * ETFred * Q) - (((keq_v34)^(-hco_v34/2.)) * ETFox * QH2)            ) )) / sqrt(kmc_v34_ETFred * kmc_v34_Q * kmc_v34_ETFox * kmc_v34_QH2) / (( (1 + (ETFred/kmc_v34_ETFred)) * (1 + (Q/kmc_v34_Q)) ) + ( (1 + (ETFox/kmc_v34_ETFox)) * (1 + (QH2/kmc_v34_QH2)) ) - 1)	True	1.5.5.1		
