!!SBtab SBtabVersion='1.0' TableID='ParameterBalanced' TableType='Quantity' TableName='Parameter' Document='jiang_data_cerevisiae_modified.tsv' Date='2023-11-01'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mode	!Unit	!UnconstrainedGeometricMean	!UnconstrainedGeometricStd	!UnconstrainedMean	!UnconstrainedStd	!Std	!GeometricStd	!Organism	!Reference
product catalytic rate constant	v8		3.9939	1/s	3.9939	2.1930899028740167e+59	inf	inf				
catalytic rate constant geometric mean	v9		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v9		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v9		1.0	dimensionless	1.0	3.6500521207512786e+214	inf	inf				
substrate catalytic rate constant	v9		10.0	1/s	10.0	2.0266560614956344e+107	inf	inf				
product catalytic rate constant	v9		10.0	1/s	10.0	2.0266560614956344e+107	inf	inf				
catalytic rate constant geometric mean	v10		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v10		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v10		6.269	dimensionless	6.269	3.180458307479933e+171	inf	inf				
substrate catalytic rate constant	v10		25.038	1/s	25.038	6.031064801512966e+85	inf	inf				
product catalytic rate constant	v10		3.9939	1/s	3.9939	6.031064801512966e+85	inf	inf				
catalytic rate constant geometric mean	v11		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v11		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v11		1.0	dimensionless	1.0	7.543990341635785e+123	inf	inf				
substrate catalytic rate constant	v11		10.0	1/s	10.0	9.443132759930847e+61	inf	inf				
product catalytic rate constant	v11		10.0	1/s	10.0	9.443132759930847e+61	inf	inf				
catalytic rate constant geometric mean	v12		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v12		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v12		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v12		10.2064	1/s	10.2064	4.186573578564985e+87	inf	inf				
product catalytic rate constant	v12		9.7978	1/s	9.7978	4.186573578564985e+87	inf	inf				
catalytic rate constant geometric mean	v14		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v14		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v14		6.269	dimensionless	6.269	3.65318486952318e+211	inf	inf				
substrate catalytic rate constant	v14		25.038	1/s	25.038	6.416964786353388e+105	inf	inf				
product catalytic rate constant	v14		3.9939	1/s	3.9939	6.416964786353388e+105	inf	inf				
catalytic rate constant geometric mean	v15		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v15		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v15		0.0001	dimensionless	0.0001	2.3187496540912373e+202	inf	inf				
substrate catalytic rate constant	v15		0.074	1/s	0.074	1.6210703433599214e+101	inf	inf				
product catalytic rate constant	v15		1351.9822	1/s	1351.9822	1.6210703433599214e+101	inf	inf				
catalytic rate constant geometric mean	v16		10.1222	1/s	10.1222	99.762	403348.3116	16072581032.457				
concentration of enzyme	v16		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v16		7.846	dimensionless	7.846	30760.1951	1.2134825459383354e+24	1.876812989759939e+47				
substrate catalytic rate constant	v16		28.4392	1/s	28.4392	1.6038	31.7959	15.8979		1.2		
product catalytic rate constant	v16		3.6027	1/s	3.6027	10073.2247	1.0150994128401807e+19	2.8601185842586263e+37				
catalytic rate constant geometric mean	v17		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v17		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v17		0.0	dimensionless	0.0	2.6172086480354744e+107	inf	inf				
substrate catalytic rate constant	v17		0.0295	1/s	0.0295	5.633720947695026e+53	inf	inf				
product catalytic rate constant	v17		3385.0904	1/s	3385.0904	5.633720947695026e+53	inf	inf				
catalytic rate constant geometric mean	v18		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v18		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v18		0.1595	dimensionless	0.1595	3.180458307479933e+171	inf	inf				
substrate catalytic rate constant	v18		3.9939	1/s	3.9939	6.031064801512794e+85	inf	inf				
product catalytic rate constant	v18		25.038	1/s	25.038	6.031064801512794e+85	inf	inf				
catalytic rate constant geometric mean	v20		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v20		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v20		6.269	dimensionless	6.269	3.1804583075638185e+171	inf	inf				
substrate catalytic rate constant	v20		25.038	1/s	25.038	6.03106480159233e+85	inf	inf				
product catalytic rate constant	v20		3.9939	1/s	3.9939	6.03106480159233e+85	inf	inf				
catalytic rate constant geometric mean	v21		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v21		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v21		6.269	dimensionless	6.269	3.180458307479933e+171	inf	inf				
substrate catalytic rate constant	v21		25.038	1/s	25.038	6.031064801512794e+85	inf	inf				
product catalytic rate constant	v21		3.9939	1/s	3.9939	6.031064801512794e+85	inf	inf				
catalytic rate constant geometric mean	v22		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v22		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v22		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v22		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
product catalytic rate constant	v22		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
catalytic rate constant geometric mean	v24		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v24		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v24		0.0	dimensionless	0.0	1.8643115323521131e+124	inf	inf				
substrate catalytic rate constant	v24		0.0002	1/s	0.0002	1.4978938204169684e+62	inf	inf				
product catalytic rate constant	v24		409088.7292	1/s	409088.7292	1.4978938204169684e+62	inf	inf				
catalytic rate constant geometric mean	v25		10.2349	1/s	10.2349	99.5271	403439.6855	15902811263.0949				
concentration of enzyme	v25		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v25		6.526	dimensionless	6.526	127904.8053	6.92934041139566e+30	7.357653159999518e+60				
substrate catalytic rate constant	v25		26.5282	1/s	26.5282	1.6038	29.6593	14.8295		1.2		
product catalytic rate constant	v25		3.9487	1/s	3.9487	10025.4177	1.064866936575572e+19	2.8716511382333346e+37				
catalytic rate constant geometric mean	v26		10.5283	1/s	10.5283	97.8874	384523.4808	14043882446.44				
concentration of enzyme	v26		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v26		16013.8322	dimensionless	16013.8322	17377.4479	7.976923640210469e+24	3.973521767576397e+45				
substrate catalytic rate constant	v26		1340.9142	1/s	1340.9142	1.6038	1499.1714	749.545		1.2		
product catalytic rate constant	v26		0.0827	1/s	0.0827	9694.8165	1.6376854425466666e+17	3.2444784015221598e+35				
catalytic rate constant geometric mean	v27		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v27		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v27		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v27		241.9256	1/s	241.9256	4.173397478889593e+87	inf	inf				
product catalytic rate constant	v27		0.4134	1/s	0.4134	4.173397478889593e+87	inf	inf				
catalytic rate constant geometric mean	v28		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v28		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v28		246.3745	dimensionless	246.3745	3.299893415733045e+138	inf	inf				
substrate catalytic rate constant	v28		156.9632	1/s	156.9632	1.9739530393619087e+69	inf	inf				
product catalytic rate constant	v28		0.6371	1/s	0.6371	1.9739530393619087e+69	inf	inf				
catalytic rate constant geometric mean	v29		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v29		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v29		1.0	dimensionless	1.0	7.543990341635785e+123	inf	inf				
substrate catalytic rate constant	v29		10.0	1/s	10.0	9.443132759930847e+61	inf	inf				
product catalytic rate constant	v29		10.0	1/s	10.0	9.443132759930847e+61	inf	inf				
catalytic rate constant geometric mean	v30		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v30		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v30		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v30		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
product catalytic rate constant	v30		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
catalytic rate constant geometric mean	v31		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v31		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v31		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v31		1.5524	1/s	1.5524	4.147168940820822e+87	inf	inf				
product catalytic rate constant	v31		64.4179	1/s	64.4179	4.147168940820822e+87	inf	inf				
catalytic rate constant geometric mean	v32		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v32		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v32		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v32		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
product catalytic rate constant	v32		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
catalytic rate constant geometric mean	v33		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v33		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v33		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v33		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
product catalytic rate constant	v33		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
catalytic rate constant geometric mean	v34		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v34		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v34		0.0	dimensionless	0.0	1.8643115323521131e+124	inf	inf				
substrate catalytic rate constant	v34		0.0002	1/s	0.0002	1.4978938204169684e+62	inf	inf				
product catalytic rate constant	v34		409088.7292	1/s	409088.7292	1.4978938204169684e+62	inf	inf				
catalytic rate constant geometric mean	v35		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v35		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v35		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v35		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
product catalytic rate constant	v35		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
catalytic rate constant geometric mean	v36		9.9809	1/s	9.9809	99.92	400626.0823	16080873343.1253				
concentration of enzyme	v36		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v36		0.0	dimensionless	0.0	40200.7431	4.197843244874591e+19	1.069655827331654e+44				
substrate catalytic rate constant	v36		0.0894	1/s	0.0894	1.6038	0.1	0.05		1.2		
product catalytic rate constant	v36		1113.7402	1/s	1113.7402	10105.4635	3.2318635960531566e+21	9.378257799861807e+39				
catalytic rate constant geometric mean	v37		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v37		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v37		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v37		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
product catalytic rate constant	v37		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
catalytic rate constant geometric mean	v38		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v38		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v38		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v38		0.6659	1/s	0.6659	4.160262642503209e+87	inf	inf				
product catalytic rate constant	v38		150.184	1/s	150.184	4.160262642503209e+87	inf	inf				
catalytic rate constant geometric mean	v40		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v40		0.001	mM	0.001	100.0	40.2875	1623081.6651				
